song,artis,album,viewed,tahun_rilis,genre
Semua Aku Dirayakan,Nadin Amizah,Semua Aku Dirayakan,190277503,2023,indie
Hujan Mata Pisau,Fstvlst,Hits Kitsch,3523565,2014,indie
"the more i try to trace you forthwith, the less i want to know where to find you",eleventwelfth,SIMILAR,4173966,2023,indie
Rumah Ke Rumah,Hindia,Menari Dengan Bayangan,469951327,2019,indie
Asmalibrasi,Soegi Bornean,Asmalibrasi,229593278,2019,indie
Ambang Rindu,The Lantis,Ambang Rindu,641695,2025,indie
Kita Ke Sana,Hindia,Lagipula Hidup Akan Berakhir,90998925,2023,indie
Amin Paling Serius,Sal Priadi,Amin Paling Serius,194354019,2019,indie
Just Say Yes,Mocca,Life in Bloom,67597,2025,indie
All I Want,The Panturas,Ombak Banyu Asmara,8129494,2021,indie
Bertaut,Nadin Amizah,Selamat Ulang Tahun,503334418,2020,indie
Bangkit Usai Pesta,Harum Manis,Hentikan Pernikahan Ini,268521,2024,indie
Kukira Kau Rumah,Amigdala,Kukira Kau Rumah,295297744,2018,indie
Saujana,Bilal Indrajaya,Nelangsa Pasar Turi,13229468,2023,indie
Taruh,Nadin Amizah,Selamat Ulang Tahun,114823029,2020,indie
Gala bunga matahari,Sal Priadi,MARKERS AND SUCH PENS FLASHDISKS,194700416,2024,indie
Untuk Perempuan Yang Sedang Di Pelukan,Payung Teduh,Dunia Batas,289078581,2014,indie
Cincin,Hindia,Lagipula Hidup Akan Berakhir,227594270,2023,indie
Resah Jadi Luka,Daun Jatuh,Resah Jadi Luka,258017116,2019,indie
Sampai Jadi Debu (Menampilkan Gardika Gigih),Banda Neira,"Yang Patah Tumbuh, Yang Hilang Berganti",182885402,2016,indie
Nina,.Feast,Nina,229629305,2024,indie
Bunga Maaf,The Lantis,Bunga Maaf,143630182,2024,indie
Jangan Jatuh Cinta Di Jakarta - Re-imagined Version,Atlesta,Jangan Jatuh Cinta Di Jakarta (Re-imagined Version),5937,2025,indie
Minggu,White Chorus,Minggu,1122665,2024,indie
Kita usahakan rumah itu,Sal Priadi,MARKERS AND SUCH,95628800,2022,indie
everything u are,Hindia,"Doves, '25 on Blank Canvas",30117712,2025,indie
Rayuan Perempuan Gila,Nadin Amizah,Rayuan Perempuan Gila,228372657,2023,indie
Blue,Galdive,Blue,436367,2025,indie
Nina (Namoy Budaya Remix),Namoy Budaya,Nina (Namoy Budaya Remix),1041943,2025,indie
Pasar Malam,Adrian Yunan,Pasar Malam,11692,2025,indie
Akhir Pekan Yang Hilang,Bilal Indrajaya,Dua Dunia,93926,2025,indie
Andai Saja,Lomba Sihir,Obrolan Jam 3 Pagi,394084,2025,indie
Fuck You,Oslo Ibrahim,Fuck You,25429,2025,indie
Monolog,Pamungkas,Walk the Talk,255263043,2018,indie
Mangu,Fourtwnty,Nalar,147254546,2023,indie
Akhir Tak Bahagia,Misellia,Penyendiri,282164158,2023,pop
Bila Memang Kamu,Betrand Putra Onsu,Bila Memang Kamu,48683902,2024,pop
Sampai Menutup Mata,Mahalini,Sampai Menutup Mata,83412092,2024,pop
Anugerah Terindah,Andmesh,Cinta & Doa,176191667,2023,pop
Mencintaimu - (From: 2nd Miracle in Cell No.7),Mahalini,Mencintaimu (From: 2nd Miracle in Cell No.7),30314510,2024,pop
Episode Bahagia - Live Studio Session,Govinda,Govinda Live Studio Session - London 2023,743043,2023,pop
Asumsi,Adrian Khalif,HARAP-HARAP EMAS,29875254,2024,pop
Memori Baik,Sheila On 7,Memori Baik,13373957,2024,pop
Putus,Pamungkas,Hardcore Romance,4200813,2024,pop
Cewek Cantik,Ronald Dewa,Luwih Ngeroll Luwih Penak,203081,2024,pop
Terakhir Kali,Wijaya 80,Terakhir Kali,26481743,2024,pop
To the Bone,Pamungkas,Flying Solo,568444695,2019,pop
Niscaya,Bilal Indrajaya,Nelangsa Pasar Turi,91203926,2023,pop
Dari planet lain,Sal Priadi,Dari planet lain,28084566,2024,pop
I Blues You,Ronald Dewa,I Blues You,2733151,2025,pop
Komang,Raim Laode,Komang,491456104,2022,pop
Teruntuk Mia,Nuh...,Teruntuk Mia,25786236,2024,pop
Kisah Masa Lalu,Nuranica,Kisah Masa Lalu,56231,2024,pop
Bunga Abadi,Rio Clappy,Bunga Abadi,202292598,2024,pop
Bunga Maaf,The Lantis,Bunga Maaf,143630182,2024,pop
bergema sampai selamanya,Nadhif Basalamah,bergema sampai selamanya,39422516,2025,pop
everything u are,Hindia,"Doves, '25 on Blank Canvas",30117712,2025,pop
Jakarta Hari Ini,For Revenge,Perayaan Patah Hati - Babak 1,260389478,2022,pop
Betapa Sulit,Ronald Dewa,Luwih Ngeroll Luwih Penak,1278214,2024,pop
Aku Bilang Jangan,MikkyZia,Aku Bilang Jangan,2712103,2025,pop
Kasih Aba Aba,Naykilla,Kasih Aba Aba,6312773,2025,pop
Dulu Memang Cinta,Putri Tanjung,Dulu Memang Cinta,6319415,2025,pop
Aku Dah Lupa,MikkyZia,Aku Dah Lupa,65024280,2025,pop
Garam & Madu (Sakit Dadaku),Tenxi,Garam & Madu (Sakit Dadaku),151598685,2025,pop
PICA PICA,Juan Reza,PICA PICA,37578196,2025,pop
Stecu Stecu,Faris Adam,Stecu Stecu,54416002,2025,pop
You'll Be in My Heart,NIKI,You'll Be In My Heart,180489703,2022,pop
Ajaib,EAR SUN,Ajaib,10651,2025,pop
Sampaikan Rindu,Lyodra,Melangkah,10245409,2024,pop
"Selalu Ada di Nadimu (Original Soundtrack From “JUMBO"")",Bunga Citra Lestari,"Selalu Ada di Nadimu (Original Soundtrack From “JUMBO"")",21112091,2025,pop
